seed,RejRate
1.0,0.8089999999999999
2.0,0.8005
3.0,0.798
4.0,0.8029999999999999
5.0,0.775
6.0,0.808
7.0,0.786
8.0,0.808
9.0,0.806
10.0,0.7915
11.0,0.7735
12.0,0.8015
13.0,0.792
14.0,0.791
15.0,0.8
16.0,0.8075
17.0,0.802
18.0,0.7995
19.0,0.8045
20.0,0.804
21.0,0.7915
22.0,0.8075
23.0,0.802
24.0,0.7935
25.0,0.785
26.0,0.7955
27.0,0.8009999999999999
28.0,0.795
29.0,0.7855
30.0,0.7865
31.0,0.7989999999999999
32.0,0.7875
33.0,0.7925
34.0,0.7945
35.0,0.8
36.0,0.8009999999999999
37.0,0.7835
38.0,0.7989999999999999
39.0,0.793
40.0,0.8
41.0,0.7969999999999999
42.0,0.794
43.0,0.775
44.0,0.7845
45.0,0.789
46.0,0.8140000000000001
47.0,0.8160000000000001
48.0,0.7895
49.0,0.808
50.0,0.774
51.0,0.7845
52.0,0.788
53.0,0.7815
54.0,0.7969999999999999
55.0,0.795
56.0,0.8
57.0,0.7885
58.0,0.7989999999999999
59.0,0.8075
60.0,0.7995
61.0,0.7969999999999999
62.0,0.796
63.0,0.7805
64.0,0.7995
65.0,0.7895
66.0,0.792
67.0,0.7915
68.0,0.796
69.0,0.793
70.0,0.8069999999999999
71.0,0.8109999999999999
72.0,0.7885
73.0,0.812
74.0,0.8075
75.0,0.7995
76.0,0.7885
77.0,0.7925
78.0,0.791
79.0,0.8109999999999999
80.0,0.8005
81.0,0.7995
82.0,0.7915
83.0,0.8035
84.0,0.7925
85.0,0.796
86.0,0.793
87.0,0.798
88.0,0.7785
89.0,0.778
90.0,0.7795
91.0,0.7975
92.0,0.796
93.0,0.791
94.0,0.788
95.0,0.795
96.0,0.8049999999999999
97.0,0.7875
98.0,0.789
99.0,0.787
100.0,0.796
101.0,0.789
102.0,0.7875
103.0,0.8025
104.0,0.7915
105.0,0.789
106.0,0.7805
107.0,0.8075
108.0,0.7895
109.0,0.7985
110.0,0.7985
111.0,0.7965
112.0,0.8015
113.0,0.7915
114.0,0.7865
115.0,0.7905
116.0,0.8069999999999999
117.0,0.774
118.0,0.804
119.0,0.8035
120.0,0.8
121.0,0.785
122.0,0.7845
123.0,0.802
124.0,0.7875
125.0,0.784
126.0,0.7925
127.0,0.787
128.0,0.7955
129.0,0.785
130.0,0.796
131.0,0.798
132.0,0.78
133.0,0.7895
134.0,0.7785
135.0,0.8015
136.0,0.7685
137.0,0.7989999999999999
138.0,0.784
139.0,0.794
140.0,0.7895
141.0,0.7805
142.0,0.7989999999999999
143.0,0.802
144.0,0.802
145.0,0.8049999999999999
146.0,0.806
147.0,0.7875
148.0,0.795
149.0,0.804
150.0,0.784
151.0,0.8045
152.0,0.7785
153.0,0.7835
154.0,0.8009999999999999
155.0,0.8035
156.0,0.778
157.0,0.7855
158.0,0.7835
159.0,0.782
160.0,0.7885
161.0,0.8135
162.0,0.7925
163.0,0.7705
164.0,0.7895
165.0,0.7935
166.0,0.7895
167.0,0.7895
168.0,0.81
169.0,0.7905
170.0,0.8005
171.0,0.7965
172.0,0.8005
173.0,0.7969999999999999
174.0,0.7985
175.0,0.793
176.0,0.789
177.0,0.7935
178.0,0.778
179.0,0.7975
180.0,0.793
181.0,0.789
182.0,0.79
183.0,0.806
184.0,0.796
185.0,0.808
186.0,0.798
187.0,0.7915
188.0,0.7935
189.0,0.7875
190.0,0.7985
191.0,0.7969999999999999
192.0,0.768
193.0,0.786
194.0,0.789
195.0,0.7915
196.0,0.8009999999999999
197.0,0.7875
198.0,0.802
199.0,0.777
200.0,0.786
201.0,0.8145
202.0,0.8109999999999999
203.0,0.786
204.0,0.8045
205.0,0.798
206.0,0.8005
207.0,0.7975
208.0,0.793
209.0,0.7969999999999999
210.0,0.7915
211.0,0.812
212.0,0.7895
213.0,0.7969999999999999
214.0,0.793
215.0,0.78
216.0,0.8
217.0,0.8075
218.0,0.8029999999999999
219.0,0.7865
220.0,0.812
221.0,0.7895
222.0,0.785
223.0,0.8025
224.0,0.8035
225.0,0.8065
226.0,0.7845
227.0,0.789
228.0,0.8025
229.0,0.8069999999999999
230.0,0.7955
231.0,0.787
232.0,0.7795
233.0,0.7875
234.0,0.78
235.0,0.802
236.0,0.785
237.0,0.7725
238.0,0.8015
239.0,0.792
240.0,0.79
241.0,0.793
242.0,0.812
243.0,0.798
244.0,0.7905
245.0,0.7975
246.0,0.788
247.0,0.789
248.0,0.792
249.0,0.798
250.0,0.8055
251.0,0.778
252.0,0.782
253.0,0.786
254.0,0.7865
255.0,0.785
256.0,0.7969999999999999
257.0,0.791
258.0,0.7925
259.0,0.7845
260.0,0.796
261.0,0.788
262.0,0.789
263.0,0.777
264.0,0.7935
265.0,0.786
266.0,0.79
267.0,0.7865
268.0,0.7985
269.0,0.788
270.0,0.789
271.0,0.8035
272.0,0.7885
273.0,0.8109999999999999
274.0,0.8049999999999999
275.0,0.79
276.0,0.7865
277.0,0.7985
278.0,0.802
279.0,0.7875
280.0,0.7925
281.0,0.7845
282.0,0.8
283.0,0.7985
284.0,0.788
285.0,0.8085
286.0,0.7989999999999999
287.0,0.7985
288.0,0.7925
289.0,0.7935
290.0,0.7875
291.0,0.783
292.0,0.7785
293.0,0.793
294.0,0.8005
295.0,0.789
296.0,0.8045
297.0,0.7915
298.0,0.7795
299.0,0.8069999999999999
300.0,0.791
301.0,0.8025
302.0,0.8115
303.0,0.7865
304.0,0.796
305.0,0.7995
306.0,0.8109999999999999
307.0,0.7915
308.0,0.812
309.0,0.773
310.0,0.7815
311.0,0.81
312.0,0.783
313.0,0.772
314.0,0.7915
315.0,0.7969999999999999
316.0,0.779
317.0,0.7925
318.0,0.798
319.0,0.786
320.0,0.7925
321.0,0.802
322.0,0.786
323.0,0.8065
324.0,0.7985
325.0,0.7755
326.0,0.8069999999999999
327.0,0.8015
328.0,0.804
329.0,0.802
330.0,0.8075
331.0,0.798
332.0,0.7855
333.0,0.7835
334.0,0.804
335.0,0.792
336.0,0.806
337.0,0.8105
338.0,0.788
339.0,0.7969999999999999
340.0,0.7985
341.0,0.787
342.0,0.789
343.0,0.798
344.0,0.7755
345.0,0.7905
346.0,0.7975
347.0,0.789
348.0,0.786
349.0,0.7989999999999999
350.0,0.793
351.0,0.7975
352.0,0.8049999999999999
353.0,0.7805
354.0,0.8055
355.0,0.8015
356.0,0.7915
357.0,0.8009999999999999
358.0,0.7969999999999999
359.0,0.7795
360.0,0.793
361.0,0.7885
362.0,0.791
363.0,0.8005
364.0,0.7975
365.0,0.7895
366.0,0.8155
367.0,0.7965
368.0,0.8069999999999999
369.0,0.8015
370.0,0.802
371.0,0.794
372.0,0.8029999999999999
373.0,0.79
374.0,0.806
375.0,0.7925
376.0,0.794
377.0,0.7835
378.0,0.789
379.0,0.8065
380.0,0.7825
381.0,0.7915
382.0,0.804
383.0,0.8009999999999999
384.0,0.7915
385.0,0.8049999999999999
386.0,0.79
387.0,0.8035
388.0,0.7945
389.0,0.7835
390.0,0.7975
391.0,0.7825
392.0,0.788
393.0,0.76
394.0,0.7915
395.0,0.8049999999999999
396.0,0.7795
397.0,0.7969999999999999
398.0,0.8025
399.0,0.775
400.0,0.7895
401.0,0.794
402.0,0.7785
403.0,0.8005
404.0,0.7885
405.0,0.796
406.0,0.784
407.0,0.796
408.0,0.795
409.0,0.7785
410.0,0.781
411.0,0.7795
412.0,0.8045
413.0,0.8055
414.0,0.8049999999999999
415.0,0.7925
416.0,0.804
417.0,0.782
418.0,0.781
419.0,0.7925
420.0,0.8015
421.0,0.788
422.0,0.7805
423.0,0.794
424.0,0.8025
425.0,0.8025
426.0,0.789
427.0,0.783
428.0,0.806
429.0,0.784
430.0,0.784
431.0,0.795
432.0,0.8015
433.0,0.7835
434.0,0.7935
435.0,0.7915
436.0,0.792
437.0,0.79
438.0,0.779
439.0,0.7989999999999999
440.0,0.796
441.0,0.7865
442.0,0.786
443.0,0.7955
444.0,0.7969999999999999
445.0,0.783
446.0,0.8009999999999999
447.0,0.791
448.0,0.795
449.0,0.8049999999999999
450.0,0.7965
451.0,0.7895
452.0,0.786
453.0,0.7895
454.0,0.7885
455.0,0.788
456.0,0.7935
457.0,0.777
458.0,0.778
459.0,0.796
460.0,0.7935
461.0,0.781
462.0,0.7995
463.0,0.8045
464.0,0.79
465.0,0.78
466.0,0.7995
467.0,0.7985
468.0,0.781
469.0,0.781
470.0,0.789
471.0,0.8
472.0,0.8035
473.0,0.773
474.0,0.7925
475.0,0.802
476.0,0.8025
477.0,0.7935
478.0,0.7955
479.0,0.777
480.0,0.7985
481.0,0.781
482.0,0.796
483.0,0.786
484.0,0.8075
485.0,0.8029999999999999
486.0,0.792
487.0,0.789
488.0,0.7845
489.0,0.7885
490.0,0.777
491.0,0.7825
492.0,0.7989999999999999
493.0,0.802
494.0,0.7969999999999999
495.0,0.793
496.0,0.793
497.0,0.7985
498.0,0.8085
499.0,0.8005
500.0,0.7955
501.0,0.7905
502.0,0.8015
503.0,0.8205
504.0,0.796
505.0,0.8095
506.0,0.796
507.0,0.7785
508.0,0.7969999999999999
509.0,0.787
510.0,0.7975
511.0,0.7995
512.0,0.7995
513.0,0.7935
514.0,0.788
515.0,0.796
516.0,0.7865
517.0,0.779
518.0,0.7955
519.0,0.804
520.0,0.802
521.0,0.781
522.0,0.789
523.0,0.779
524.0,0.793
525.0,0.7865
526.0,0.787
527.0,0.7745
528.0,0.79
529.0,0.785
530.0,0.7969999999999999
531.0,0.8029999999999999
532.0,0.8025
533.0,0.802
534.0,0.7955
535.0,0.787
536.0,0.7925
537.0,0.7945
538.0,0.7905
539.0,0.774
540.0,0.7985
541.0,0.7925
542.0,0.7905
543.0,0.7925
544.0,0.7765
545.0,0.7935
546.0,0.7955
547.0,0.775
548.0,0.8009999999999999
549.0,0.7805
550.0,0.7785
551.0,0.7969999999999999
552.0,0.786
553.0,0.7995
554.0,0.7985
555.0,0.783
556.0,0.7965
557.0,0.789
558.0,0.802
559.0,0.794
560.0,0.792
561.0,0.7875
562.0,0.7965
563.0,0.808
564.0,0.804
565.0,0.789
566.0,0.7989999999999999
567.0,0.7705
568.0,0.778
569.0,0.7835
570.0,0.8005
571.0,0.783
572.0,0.793
573.0,0.804
574.0,0.787
575.0,0.7905
576.0,0.795
577.0,0.7925
578.0,0.7965
579.0,0.778
580.0,0.7795
581.0,0.79
582.0,0.8029999999999999
