seed,RejRate
1.0,0.5345
2.0,0.5365
3.0,0.5485
4.0,0.534
5.0,0.5375
6.0,0.5349999999999999
7.0,0.5285
8.0,0.5365
9.0,0.5315
10.0,0.556
11.0,0.5225
12.0,0.5235000000000001
13.0,0.5175000000000001
14.0,0.5335
15.0,0.5449999999999999
16.0,0.54
17.0,0.5349999999999999
18.0,0.534
19.0,0.5275000000000001
20.0,0.5415
21.0,0.5205
22.0,0.53
23.0,0.5145
24.0,0.527
25.0,0.5385
26.0,0.5365
27.0,0.542
28.0,0.5425
29.0,0.5275000000000001
30.0,0.536
31.0,0.54
32.0,0.5155000000000001
33.0,0.526
34.0,0.5355
35.0,0.5255000000000001
36.0,0.5369999999999999
37.0,0.5155000000000001
38.0,0.5285
39.0,0.528
40.0,0.523
41.0,0.542
42.0,0.532
43.0,0.525
44.0,0.5409999999999999
45.0,0.542
46.0,0.5375
47.0,0.5295000000000001
48.0,0.5115000000000001
49.0,0.5345
50.0,0.5175000000000001
51.0,0.5255000000000001
52.0,0.5329999999999999
53.0,0.512
54.0,0.5385
55.0,0.54
56.0,0.5409999999999999
57.0,0.5325
58.0,0.542
59.0,0.5415
60.0,0.544
61.0,0.5375
62.0,0.5425
63.0,0.5355
64.0,0.5435
65.0,0.5325
66.0,0.507
67.0,0.5245
68.0,0.5255000000000001
69.0,0.5329999999999999
70.0,0.5225
71.0,0.5315
72.0,0.518
73.0,0.534
74.0,0.542
75.0,0.5355
76.0,0.536
77.0,0.5275000000000001
78.0,0.5335
79.0,0.5265
80.0,0.548
81.0,0.5285
82.0,0.532
83.0,0.5355
84.0,0.5255000000000001
85.0,0.527
86.0,0.5345
87.0,0.529
88.0,0.5
89.0,0.519
90.0,0.5365
91.0,0.5455
92.0,0.5369999999999999
93.0,0.5215000000000001
94.0,0.524
95.0,0.5355
96.0,0.536
97.0,0.5185
98.0,0.5285
99.0,0.5245
100.0,0.5375
101.0,0.5329999999999999
102.0,0.5315
103.0,0.5495
104.0,0.5475
105.0,0.5415
106.0,0.512
107.0,0.53
108.0,0.526
109.0,0.538
110.0,0.528
111.0,0.5435
112.0,0.521
113.0,0.5305
114.0,0.532
